Tweet ID,Screen Name,Number of Followers,Location,Tweet
1453922397166391298,GTAallcom,254,,b'Audi R8 V10 Plus 2017\xe3\x80\xa1Wide Body Kit\xe3\x80\xa1add-on v2.0 https://t.co/DnuHeUfEdX https://t.co/IWjNgJb4Uo'
1453922349913358342,gtavicecityru,19851,Russia,b'Audi R8 V10 Plus 2017\xe3\x80\xa1Wide Body Kit\xe3\x80\xa1add-on v2.0 https://t.co/w9eVSsy7il https://t.co/niTKqiOLUP'
1453914877345419268,BodyKits1,12,,b'Fit For Audi R8 16-18 Front Bumper Side Air Vent Grill Cover Carbon Fiber 2PCS https://t.co/g2VPxHuKDE eBay https://t.co/RHsrJ7W5IL'
1453910462140239872,AudiDominion,1125,"San Antonio, Texas",b'Set your sights a little higher.\n#Audi #AudiR8 #R8 @AudiOfficial @Audi #audisport #audir8club https://t.co/Y7rogQzGYl'
1453863498346385410,ArtesMax,565,"Barcelona, España",b'Audi R8 LMS GT3 / James Pull / GBR / Stuart Hall / GBR / Benjamin Goethe / MCO / Team WRT #flickr https://t.co/sRpwC2fpiu'
1453863095043076099,_Lotanna,834,"West Coast, Abuja 🇦🇽🇳🇬",b'VW Golf and then I jacked my babes dad Audi R8 \xf0\x9f\x98\x82\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/WT1Vfessae'
1453861725514526722,FudgeInspector,74,Roblox HQ,b'@RobbieSTrevino @deadmau5 yo deadmau5 got an Audi R8? siiiiick'
1453861400883785734,Racecars_bot,1033,,b'Blancpain GT Series/Endurance:2014 Audi R8 LMS Ultra #25 (Sainteloc Racing) https://t.co/4fiu33zVaI'
1453851572669009923,pitstoptv_,311,North Carolina,"b'This @NorthAmericanR5 #CarSpotlight goes to the Audi R8, sporting 576hp &amp; rearward weight bias that allows drivers\xe2\x80\xa6 https://t.co/GFvUa5hFrg'"
1453840345209450499,maribacardi,1161,,b'Just seen an Audi R8 In carrolton. These folks got money they just be hiding it\xf0\x9f\x98\x82'
1453833885419282437,dailytradingpit,124,New York City ,b'@CasualtyWar @WOLF_Financial love Audi R8 too\xf0\x9f\x94\xa5'
1453832909861924876,TheShubo,39,,b'@DULCEC0RE Happy birthday my love :) Thanks for letting me borrow the Audi R8'
1453825051367723011,GTR24h,391,"Middelfart, Danmark",b'Wow! Look how close it can get through the Porsche curves as the #585 Audi R8 GT3 of Asetek Simsport gets passed by\xe2\x80\xa6 https://t.co/zaOMmpuvvx'
1453814209364508675,PhoenlxShadow97,44,United Kingdom,b'@ForzaHorizon It\xe2\x80\x99s a shame the Audi R8 5.2 FSI from FM3 and the Nissan 350Z from FM2 are not in the game really.'
1453811992389726215,446songes,13,,"b'so, where is my audi r8 v10 from motorsport 3 ????? https://t.co/2AZuFQPS6U'"
1453809882260545536,SmileDesignLtd,364,"Rochester,Kent","b""@BOTB_Dreamcars The Audi R8 in the Dream Car competition says it's \xc2\xa3131 k and AWD. Can you clarify the model as it\xe2\x80\xa6 https://t.co/L4XoP2vWZp"""
1453794783047127044,saIeonhold,123,,b'@fillbeforeshill Audi R8 pls'
