,Address,price,num_of_bedrooms,num_of_bathrooms,square_footage,Year Built,Times on Zillow,Number of Views
85,"140 W 71st St #8BC, New York, NY 10023","$1,250,000",2,1,--,N/A,199 days,295
86,"12 W 72nd St APT 14ABC, New York, NY 10023","$4,275,000",4,4,--,1963,N/A,N/A
87,"15 W 61st St #3J, New York, NY 10023","$3,725,000",2,2,"1,396",1902,N/A,N/A
88,"15 W 63rd St APT 20C, New York, NY 10023","$2,995,000",2,2,"1,309",1971,39 days,213
89,N/A,N/A,N/A,N/A,N/A,1905,N/A,N/A
90,"2025 Broadway #22H, New York, NY 10023","$725,000",1,1,--,1971,42 days,127
91,"11 Riverside Dr APT 14RE, New York, NY 10023","$700,000",1,1,--,1905,99 days,72
92,"155 W 70th St APT 7H, New York, NY 10023","$760,000",Studio,1,617,1920,N/A,N/A
93,"305 W 72nd St APT 7D, New York, NY 10023","$585,000",1,1,--,1927,98 days,185
94,"212 W 72nd St #15A, New York, NY 10023","$2,345,000",2,2,"1,137",2019,88 days,95
95,"170 W 74th St APT 908, New York, NY 10023","$480,000",Studio,1,--,1999,N/A,N/A
96,"1 Central Park W #1002/1003, New York, NY 10023","$2,795,000",2,2,"1,182",N/A,300 days,44
97,"15 W 61st St #20A, New York, NY 10023","$6,725,000",3,3,--,1999,N/A,N/A
98,"61 W 62nd St APT 18B, New York, NY 10023","$619,000",1,1,--,1977,N/A,N/A
99,N/A,N/A,N/A,N/A,N/A,1950,N/A,N/A
